MG_E0,
Wavelength (nm),Intensity (a.u.)
510,1000
511.0599976,1000
511.9599915,979.6546631
513.0300293,502.4398499
513.9299927,400.1793213
515,405.6192932
516.0599976,432.3942261
516.960022,459.8227539
518.0300293,487.9328003
518.9299927,524.9653931
520,546.5802002
521.039978,576.7868042
521.9400024,602.8361206
522.9799805,627.2241821
524.0200195,652.215332
525.0700073,669.28302
525.9699707,694.8261719
527.0100098,706.1141357
528.0499878,714.8201904
528.9500122,726.9533691
530,717.5959473
531.0200195,722.3076172
532.0499878,721.2405396
532.9400024,713.2846069
533.9699707,703.4873047
535,695.0950928
536.0200195,684.8203735
537.0499878,674.2574463
537.9400024,660.3081665
538.9699707,650.0484009
540,629.9498901
541.039978,619.6925049
541.9400024,600.0527344
542.9799805,585.1450806
544.0200195,566.8035889
545.0700073,548.1411133
545.9699707,534.4216919
547.0100098,513.5697632
548.0499878,503.9014282
548.9500122,484.4660645
550,464.7851868
551.039978,447.0839539
551.9400024,432.9187927
552.9799805,420.7557373
554.0200195,404.0222778
555.0700073,388.7927856
555.9699707,376.8187866
557.0100098,362.5099792
558.0499878,351.0316467
558.9500122,342.6334534
560,328.8270264
561.0200195,314.8415833
562.0499878,303.9895325
562.9400024,294.6942444
563.9699707,285.5000305
565,275.8685608
566.0200195,268.8180237
567.0499878,260.2512817
567.9400024,256.267395
568.9699707,249.0849762
570,238.7417145
571.0200195,230.3901367
572.0499878,225.9590454
572.9400024,218.094986
573.9699707,214.4633789
575,203.9385223
576.0200195,199.6039581
577.0499878,193.4860077
577.9400024,189.2385712
578.9699707,178.5247192
580,173.6369324
581.0200195,166.6133881
582.0499878,160.6534119
582.9400024,155.8559265
583.9699707,151.8242035
585,141.7528381
586.0200195,139.0353699
587.0499878,132.6470184
587.9400024,129.5437622
588.9699707,124.6764908
590,119.1692429
591.0200195,113.7421112
592.0499878,110.1257401
592.9400024,105.1524353
593.9699707,103.0018082
595,97.94230652
596.0200195,95.25559235
597.0499878,92.0796814
597.9400024,87.1486969
598.9699707,84.15432739
600,80.01515961